Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Belarus,BLR,..,..,..,..,..,4.5,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Belize,BLZ,..,..,..,..,..,..,22.2,..,..,..,..,19.3,..,..,..,15,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Benin,BEN,..,39.1,..,..,..,..,44.7,..,..,..,..,..,..,..,34,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,34.9,..,33.6,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Bolivia,BOL,..,..,..,32.5,..,..,..,..,27.2,..,..,..,18.1,..,..,..,16.1,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Bosnia and Herzegovina,BIH,12.1,..,..,..,..,..,11.8,..,..,..,..,..,8.9,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Botswana,BWA,29.1,..,..,..,..,..,..,31.4,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Brazil,BRA,..,..,..,..,..,..,..,7.1,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,19.7,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Bulgaria,BGR,..,..,..,..,8.8,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Burkina Faso,BFA,..,..,..,43.1,..,..,42.4,..,..,35.1,35.1,34.1,32.9,31.3,29,..,27.3,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Burundi,BDI,63.1,..,..,..,..,57.7,..,..,..,..,57.5,..,..,..,..,..,55.9,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Cambodia,KHM,49.2,..,..,..,..,43.7,..,..,39.5,..,40.9,..,..,..,32.4,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Cameroon,CMR,..,..,..,..,35.4,..,36.4,..,..,..,..,32.6,..,..,31.7,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Central African Republic,CAF,44.6,..,..,..,..,..,45.1,..,..,..,40.7,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Chad,TCD,39.3,..,..,..,44.8,..,..,..,..,..,38.7,..,..,..,..,39.9,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Chile,CHL,..,2.8,2.5,2.5,2.4,..,2.2,2.1,2,..,..,..,..,1.8,1.8,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,China,CHN,17.8,..,21.8,..,..,11.7,..,..,9.8,9,9.4,..,..,8.1,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Colombia,COL,18.1,..,..,..,..,16.2,..,..,..,..,12.7,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Comoros,COM,46.9,..,..,..,..,..,..,..,..,..,..,..,32.1,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,"Congo, Dem. Rep.",COD,..,44.4,..,..,..,..,..,45.8,..,..,43.5,..,..,42.6,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,"Congo, Rep.",COG,..,..,..,..,..,31.2,..,..,..,..,..,25,..,..,..,21.2,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Costa Rica,CRI,..,..,..,..,..,..,..,..,5.6,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Cote d'Ivoire,CIV,..,..,..,..,..,..,40.1,39,..,..,..,..,29.6,..,..,..,21.6,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Cuba,CUB,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Czech Republic,CZE,..,2.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Djibouti,DJI,..,..,26.5,..,..,..,32.6,..,..,..,..,..,33.5,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Dominican Republic,DOM,8,..,11.7,..,..,..,10.5,10.1,..,..,..,..,..,7.1,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Ecuador,ECU,..,..,..,..,29,..,25.9,..,..,..,..,..,25.2,..,23.9,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,"Egypt, Arab Rep.",EGY,24.6,..,..,20.3,..,23.8,..,..,30.7,..,..,..,..,..,22.3,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,El Salvador,SLV,..,..,..,24.6,..,..,..,..,20.6,..,..,..,..,..,13.6,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Equatorial Guinea,GNQ,42.6,..,..,..,35,..,..,..,..,..,..,26.2,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Eritrea,ERI,..,..,43.7,..,..,..,..,..,..,..,50.3,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Eswatini,SWZ,36.6,..,..,..,..,..,29.5,..,40.4,..,31,..,..,..,25.5,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Ethiopia,ETH,57.4,..,..,..,..,50.7,..,..,..,..,..,44.2,..,..,40.4,..,38.4,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Fiji,FJI,..,..,..,..,7.5,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Gabon,GAB,26.3,..,..,..,..,..,..,..,..,..,..,..,17.5,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,"Gambia, The",GMB,24.1,..,..,..,..,..,27.6,..,..,..,23.4,..,21.2,25,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Georgia,GEO,..,..,..,..,..,14.7,..,..,..,11.3,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Germany,DEU,..,..,..,..,..,1.3,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Ghana,GHA,..,..,..,35.6,..,..,28.1,..,28.6,..,..,22.7,..,..,18.8,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Guatemala,GTM,50,..,54.3,..,..,..,..,..,..,48,..,..,..,..,..,46.5,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Guinea,GIN,..,..,..,..,..,39.3,..,40,..,..,..,35.8,31.3,..,..,..,32.4,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Guinea-Bissau,GNB,36.1,..,..,..,..,..,47.7,..,..,..,32.2,..,..,..,27.6,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Guyana,GUY,13.8,..,..,..,..,..,18.2,..,..,19.5,..,..,..,..,12,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Haiti,HTI,28.3,..,..,..,..,..,29.7,..,..,..,..,..,21.9,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Honduras,HND,..,34.5,..,..,..,..,29.9,..,..,..,..,..,22.7,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,India,IND,..,..,..,..,..,..,47.9,..,..,..,..,..,..,..,38.7,38.4,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Indonesia,IDN,42.4,41.6,..,..,28.6,..,..,40.1,..,..,39.2,..,..,36.4,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,"Iran, Islamic Rep.",IRN,..,..,..,..,7.1,..,..,..,..,..,..,6.8,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Iraq,IRQ,28.3,..,..,33.7,20,..,27.5,..,..,..,..,22.6,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Jamaica,JAM,6.6,6.4,6.6,..,4.5,..,5.6,3.8,5.2,..,4.8,..,5.7,..,6.2,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,7.1,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Jordan,JOR,..,..,12,..,..,..,..,..,..,8.3,..,..,7.8,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Kazakhstan,KAZ,..,..,..,..,..,..,17.5,..,..,..,13.1,..,..,..,..,8,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Kenya,KEN,41,..,..,35.8,..,40.9,..,..,..,35.2,..,..,..,..,26,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,"Korea, Dem. People’s Rep.",PRK,51,..,44.7,..,43.1,..,..,..,..,32.4,..,..,27.9,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,"Korea, Rep.",KOR,..,..,..,2.5,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Kuwait,KWT,..,4,3.6,3.9,4.1,4.5,4.6,5.1,5.1,3.8,4.1,4,4.3,4.8,5.8,4.9,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Kyrgyz Republic,KGZ,..,..,..,..,..,..,18.1,..,..,22.6,..,..,17.8,..,12.9,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Lao PDR,LAO,48.2,..,..,..,..,..,47.6,..,..,..,..,43.8,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Lebanon,LBN,..,..,..,..,16.5,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Lesotho,LSO,53,..,..,..,45.2,..,..,..,..,39,..,..,..,..,33.2,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Liberia,LBR,45.3,..,..,..,..,..,..,39.4,..,..,41.8,..,..,32.1,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Libya,LBY,..,..,..,..,..,..,..,21,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,"Macedonia, FYR",MKD,..,..,..,..,..,11.5,..,..,..,..,..,4.9,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Madagascar,MDG,..,..,..,..,52.8,..,..,..,..,49.2,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Malawi,MWI,54.6,..,..,..,52.5,..,53.2,..,..,48.8,47.8,..,..,..,42.4,37.1,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Malaysia,MYS,..,..,..,..,..,..,17.2,..,..,..,..,..,..,..,..,17.7,20.7,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Maldives,MDV,..,31.9,..,..,..,..,..,..,..,20.3,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Mali,MLI,..,42.7,..,..,..,..,38.5,..,..,..,27.8,..,..,..,..,30.4,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Malta,MLT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Mauritania,MRT,39.5,..,..,..,..,..,..,28.9,23,..,..,29.7,22,..,..,27.9,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Mexico,MEX,..,..,..,..,..,..,15.5,..,..,..,..,..,13.6,..,..,12.4,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Moldova,MDA,..,..,..,..,..,11.3,..,..,..,..,..,..,6.4,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Mongolia,MNG,29.8,..,..,..,23.5,27.5,..,..,..,..,15.6,..,..,10.8,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Montenegro,MNE,..,..,..,..,..,7.9,..,..,..,..,..,..,..,9.4,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Morocco,MAR,..,..,..,23.1,..,..,..,..,..,..,..,14.9,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Mozambique,MOZ,..,49.6,..,47,..,..,..,..,43.7,..,..,43.1,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Myanmar,MMR,40.8,..,..,40.6,..,..,..,..,..,35.1,..,..,..,..,..,..,29.2,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Namibia,NAM,29.5,..,..,..,..,..,..,29.6,..,..,..,..,..,23.1,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Nauru,NRU,..,..,..,..,..,..,..,24,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Nepal,NPL,..,57.1,..,..,..,..,49.3,..,..,..,..,40.5,..,..,37.4,..,35.8,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Nicaragua,NIC,..,25.2,..,..,18.8,..,23,..,..,..,..,..,17.3,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Niger,NER,54.2,..,..,..,..,..,54.8,..,..,..,..,..,43,..,..,..,42.2,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Nigeria,NGA,..,..,..,43,..,..,..,42.8,41,..,..,36,..,36.4,32.9,32.9,43.6,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Norway,NOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Oman,OMN,..,..,..,..,..,..,..,..,..,9.8,..,..,..,..,14.1,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Pakistan,PAK,..,41.5,..,..,..,..,..,..,..,..,..,43,45,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Panama,PAN,..,..,..,22.2,..,..,..,..,19.1,..,..,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Papua New Guinea,PNG,..,..,..,..,..,43.9,..,..,..,..,49.5,..,..,..,..,..,..,..
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS,Paraguay,PRY,..,..,..,..,..,17.5,..,..,..,..,..,..,10.9,..,..,..,5.6,..
